Project,Firm,Date,Description,Credits,Theme,
Smith Campus Center,Bruner/Cott Architects,2018,The Richard A. & Susan F. Smith Campus Center at Harvard University is a radical re-appraisal of the existing ten story building on the site of the Holyoke Center designed by Josep Lluis Sert in the 1950's. A much-needed modernization and reorganization of uses brought formerly private office spaces into the public sphere and enhanced already public areas with a variety of collaborative and recreational spaces.,"(Arch of Record) Bruner/Cott Architects;
(Design Architect) Hopkins Architects;
(Contractor) Consigli;
(Primary Engineer) Arup;
(Civil Engineer) WSP;
(Cost Consultant) Faithful + Gould;
(Façade Consultant) Simpson Gumpertz & Heger (SGH);
(Food Service) Colburn Guyette;
(Healthcare) Steffian Bradley Architects;
(Landscape) Michael Van Valkenberg Associates;
(Specifications) Kalin Associates;
(Traffic) Perry and Radford Architects;
(Elevator) Zipf;
(Geotechnical) Haley & Aldrich;
(Design Assist) Roschman Steel & Glass Construction;
(Wind) Rowan Williams Davies & Irwin;
Photo © Nic Lehoux
",Sites of Welcome,
Fieldstone Student Housing,DiMella Shaffer,2024,"Fieldstone Student Housing, the new undergraduate and graduate housing complex at UMass Amherst, was created from a public-private partnership and addresses the growing demand for student housing while revitalizing a parking lot in an underutilized section of campus. With over 700 beds and 10,000 SF of activity and retail spaces, the complex fosters social connections through thoughtful design.","(Architect) DiMella Shaffer
(Contractor) Suffolk Construction Company; 
(Developer) Balfour Beatty Campus Solutions;
(Engineer) Civil: Nitsch Engineering;
(Engineer) MEP: RFS;
(Engineer) Structural: RSE Associates;
(Landscape Architect) Crowley Cotrell;
(Acoustics) Acentech;
(Code) Jensen Hughes;
(Accessibility) KMA;
(Envelope) BET Building Envelope Technologies;
(Geotechnical) GZA;
(Interiors) Levy Dykema;
(Specifications) Collective Wisdom;
(Food Service) Colburn Guyette;
(Lighting) Collaborative Lighting
Photo © Robert Benson
",Sites of Welcome,
Boston Harbor Islands Pavilion,Utile,2011,"The Boston Harbor Islands Pavilion is an open-air gateway that connects city life to the natural richness of the Boston Harbor Islands. Two sculptural canopies provide shelter while framing views of the harbor, inviting visitors to pause and explore. A large-scale granite map and exhibit panels introduce the islands' history, ecology, and recreational offerings.","(Architect) Utile
(Client) Boston Harbor Island Alliance
(Client) National Park Service (NPS)
(Landscape Architecture) Reed Hilderbrand Associates
(Structural Engineering) SGH Engineers
(Construction) Turner Special Projects
Photo © Chuck Choi
",Sites of Welcome,
St. Bonaventure Parish,LDa,2014,"The challenge for the St. Bonaventure Parish was to design a campus that would respect the ecclesiastical architectural history of the region, preserve the historical roots of the site and parish, and provide comfortable, functional spaces with modern amenities. The new church entry and narthex face the new community green, and the altar and chapel face into the landscape.","(Architect) LDa Architecture & Interiors
(Builder) A.P. Whitaker and Sons, Inc.
(Liturgical Consultant) G. Thomas Ryan
(Videographer) Hawk Visuals
Photo © Greg Premru Photography",Sites of Welcome,
Athenaeum Expansion,Annum Architects,2024,"The Boston Athenaeum, one of the oldest independent libraries in the United States, is located in a circa 1849 National Historic Landmark building on Beacon Hill. The renovation and expansion supports the Boston Athenaeum's renewed mission of inclusion and transparency, helping to broaden programming to better engage Boston's increasingly diverse population.","(Architect) Annum Architects
(Structural Engineer) Thornton Tomasetti, (Han Xu)
(MEP/FP Engineer) Allied Consulting Engineering Services, (Amish Patel)
(Landscape Architect) Richard Burck, (Skip Burck)
(Lighting Design) Available Light, (Matt Zelkowitz)
(Acoustics) ACENTECH, (Jonah Sacks)
(Code Consultant) Solutions Engineering< (Michael DiMascio)
(Specifications Writer) Kalin Associates, Mark Kalin
(Cost Estimator) Fennessy Consulting Services, (Seamus Fennessy)
Photo © Anton Grassi
",Sites of Welcome,
Isooko Community Center,General Architecture Collaborative,2021,"The Isooko Community Center, located in the remote hills outside Kigali, Rwanda, bridges physical and social divides by providing vital educational, recreational, and wellness resources to underserved residents. Designed as a community-driven initiative, the Center's development emphasized local involvement and sustainable methods from start to finish.","James SetzCo-founder, Principal: Architect of Record, General Architecture Collaborative, James Setzler
Co-founder, Principal: General Architecture Collaborative,Yutaka Sho
Co-founder, Principal: General Architecture Collaborative, Leighton Beaman
Architecture Associate: General Architecture Collaborative, Patrice Ndababonye
Architecture Associate: General Architecture Collaborative, Nicolas Kalimba Rugamba
Architecture Associate: General Architecture Collaborative, Marie Claire Musengayire
Architecture Associate: General Architecture Collaborative,Cynthia Twagirayezu
Architecture Associate: General Architecture Collaborative, Marie Rose Ukwizabigira
Intern: General Architecture Collaborative, Iris Gomm
Intern: General Architecture Collaborative, Mia Shepard
Consultants & NGOs:
Kate Spade NY On Purpose
TEACH Rwanda
Shooting Touch
Africa Yoga Project
Mindleaps
KTG Strategies
Construction:
General Contractor: General Architecture Collaborative
Masonry Technology & Training: Skat Consulting
Structural Engineer: Junho Chun
Photo © James Setzler
ler",Sites of Belonging,
Free To All,Architecture for Public Benefit,2022,"A Library Free to All enhances access to essential library services in nine underserved Boston communities through innovative, community-driven design. The project's flexible kit of parts includes canopies for shade, light, and mist, alongside modular, playful furniture that adapts to various functions—from performance stages to informal gathering spaces.","(Architect) Architecture for Public Benefit
(Community Engagement Partner) Design4Equity
(Construction Partner) YouthBuild Boston
Photo © Randy Crandon
",Sites of Belonging,
The Record Co.,STA Design,2025,"The Record Co. is a nonprofit institution whose mission is 'to remove the technical and social barriers between Boston's music makers and their creative visions through truly affordable music workspace and professional development programs', with a strong focus on community and inclusivity.","(Architect) STA Design
(General Contractor) Citywide Contracting, Peter Walsh
(MEPFP Engineers) AHA Engineers, Jon Splaine, PE
(Acoustics) Sonic Space, Lou Clark
(Custom AV Racks/ Sound Walls) Soundwall Construction, Eric Pearce 
(Audio) Audire Design, Rob Pemberton
Photo © Jenny Bergman
",Sites of Belonging,
The Pryde,DiMella Shaffer,2024,"The Pryde is an adaptive reuse project transforming the historic William Barton Rogers School in Boston's Hyde Park into 74 LGBTQ-affirming affordable housing units and a community center. It addresses a critical housing gap, offering a safe, dignified home for a marginalized community that has long faced discrimination.","(Architect) DiMella Shaffer
(Engineer) Civil: Nitsch Engineering;
(Engineer) MEP: R.W. Sullivan;
(Engineer) Structural: L.A. Fuess;
(Contractor) NEI General Contracting;
(Landscape Architect) MikYoung Kim;
(Historic Preservation) PAL/ Public Archaeology Laboratory;
(Geotechnical Engineer) Terracon;
(Environmental) Hillman Environmental;
(Sustainability) Thornton Tomassetti;
(Code) WSP;
(Lighting) SK & Associates Lighting Consultants;
(Envelope) BSC Building Science Corporation
Photo © Robert Benson
",Sites of Belonging,
J.J. Carroll House,MASS Design Group,2024,"The J.J. Carroll House is a model for high density housing that prioritizes resident connections and communal activities linked to aging well. The 142-unit affordable housing community for seniors seeks to address a need for more affordable senior housing through design strategies that help residents live better, longer.","(Architect) MASS Design Group
(Lead Principals) Jonathan Evans, Patricia Gruits
(Project Manager) Ian Kenney 
(Design Team) Johanny Bonilla, Emma Colley, Emily Ebersol, Ana Fernandez, Francisco Colom, John Maher, Ashley Marsh, Sarah Payton, Rinika Prince, Dave Saladik, Chris Scovel, Damario Walker-Brown, Annie Wang 
(Client & Site Owner) 2Life Communities
(MEP) Petersen Engineering
(Civil + Landscape) Stantec
(Structural Engineering) RSE Associates
(Envelope) RJ Kenney
(Sustainability) New Ecology
(Code) Howe Engineers
(Accessibility) KMA
(Specifications) Kalin Associates
(Photovoltaic) Solar Design Associates
(Acoustics) Intertek
Photo © MASS Design Group
",Sites of Belonging,
Split Switchback Housing,Primary Projects and RUKA Design,2025,"As 'single stair' housing begins to take hold in the US, how can we ensure occupant safety while building community? In Split Switchback Housing, the stair is a conventional switchback, but instead of stacking each floor's runs, they alternate across the landing in the direction of travel.","Primary Projects, Kyle Barker
RUKA Design, Mark Rukamathu
Image © Primary Projects / RUKA Design
",Sites of Belonging,
